28 5 1776373472
6 3070 1404 4382
78 472 2000 4811
98 2732 1460 5241
87 848 2000 5671
69 2699 607 6100
5 3890 1857 6530
84 3898 2000 6960
81 2759 534 7390
15 2211 1002 7819
124 1352 2000 8249
51 728 1908 8679
52 4084 547 9109
57 820 2000 9538
73 3259 1204 9968
63 513 845 10398
100 3683 2000 10828
26 283 1337 11257
78 657 1245 11687
19 1048 2000 12117
37 4016 1790 12547
116 1217 1394 12976
66 1162 1740 13406
14 326 2000 13836
122 283 406 14265
53 496 555 14695
60 2751 102 15125
74 4260 802 15555
15 1566 2000 15984
